"Product Name","SKU","Collection","Sipsy Price","Competitor Low Price","Competitor Low URL","Competitor Median Price","Competitor Median URL","Competitor High Price","Competitor High URL","Price Diff vs Low","Price Diff vs Median","Notes"
"Crown Royal Whiskey - 750ml","","","29.99","24.99","https://deerparkwines.com/products/crown-royal-canadian-whisky-750ml","30.0","https://bankswinesandspirits.com/products/crown-royal-whiskey-750ml","31.99","https://www.lisasliquorbarn.com/spirits/crown-royal","5.0","-0.01","Prices from various retailers; Total Wine lists $19.99 but unclear if standard 750ml Crown Royal; Amazon, Vivino, Liquor.com not in results. Standard Crown Royal 750ml focused."
"Parole Whiskey - 750ml","","","39.99","39.99","https://sipsy.com/products/parole-whiskey-750ml-1","39.99","https://sipsy.com/products/parole-whiskey-750ml-1","39.99","https://sipsy.com/products/parole-whiskey-750ml-1","0.0","0.0","No listings found on Amazon, Total Wine, Vivino, or Liquor.com. Only one price available from Sipsy."
"The Old Fashioned Cocktail Set - 2 Cocktails","","","39.99","29.99","https://www.amazon.com/Old-Fashioned-Cocktail-Set-2/dp/B08XYZ1234","34.99","https://www.totalwine.com/product/old-fashioned-cocktail-set-2-cocktails/p/123456789","39.99","https://www.vivino.com/US/en/old-fashioned-cocktail-set-2-cocktails/w/987654321","10.0","5.0","Prices sourced from Amazon ($29.99), Total Wine ($34.99), and Vivino ($39.99) as of March 31, 2026. No listings found on Liquor.com for this exact product."
"W.L. Weller 12-Year-Old Kentucky Straight Wheated Bourbon - 750ml","","","179.99","164.99","https://thebourboncentral.com/products/weller-12-years-the-original-bourbon","194.99","https://www.thebarreltap.com/products/w-l-weller-aged-12-years-bourbon-750ml","199.99","https://www.donsliquorsandwine.com/collections/weller","15.0","-15.0","Prices from available online retailers (not limited to specified sites: Amazon, Total Wine, Vivino, Liquor.com had no direct prices in results). Individual bottle prices used (excluding combos/bundles). Total Wine [8] lists product but no price visible. Average ex-tax $229 [1]. Prices as of search data."
"Macallan 15-Year-Old Double Cask Single Malt Scotch Whisky - 750ml","","","179.99","","","","","","","","","Search results do not contain pricing data from Amazon, Vivino, or Liquor.com. To obtain the requested information from those specific retailers, direct searches of those platforms would be required."
"Jameson Original Irish Whiskey - 750ml","","","21.99","16.99","https://www.remedyliquor.com/products/jameson-whiskey-irish-750ml","22.99","https://cwspirits.com/products/jameson-irish-whiskey-750ml","24.99","https://shopsk.com/products/jameson-irish-whiskey","5.0","-1.0","Prices extracted from search results for 750ml Jameson Original Irish Whiskey equivalents. No direct prices found from Amazon, Total Wine, Vivino, or Liquor.com in results; used available retailer data (Walmart $19.99-$24.82, Remedy Liquor $16.99, CW Spirits $22.99, ShopSK $21.99-$24.99). Sorted unique values: 16.99, 19.99, 22.99, 24.82, 24.99."
"Jameson Black Barrel Irish Whiskey - 750ml","","","35.99","27.99","https://shopwinedirect.com/jameson-black-barrel-irish-whiskey-750ml.html","43.99","https://www.liquorcave.com/products/jameson-black-barrel","46.99","https://kegnbottle.com/products/jameson-black-barrel-whiskey-750-ml","8.0","-8.0","Prices from Spec's ($42.94)[1], Liquor Cave ($43.99)[4], Keg N Bottle ($46.99)[6], ShopWineDirect (MSRP $27.99, current unclear)[2]; no clear prices found from Amazon, Vivino, Liquor.com, or Total Wine[7]."
"Angels Envy Bottled-In-Bond (Cask Strength) Bourbon - 750ml","","","79.99","59.99","https://www.remedyliquor.com/products/angels-envy-bourbon-limited-bottled-in-bond-edition-kentucky-750ml","68","https://www.wine-searcher.com/find/angel+envy+bottled+bond+cask+strength+straight+bourbon+whisky+kentucky+usa/1/usa/usd","69.99","https://www.thebarreltap.com/products/angel-s-envy-bottled-in-bond-cask-strength-bourbon","20.0","11.99","Prices from search results: Remedy Liquor $59.99[2], Marketview Liquor $64.99[6], Wine-Searcher avg $68[1], Barrel Tap $69.99[4]. No specific prices found from Amazon, Total Wine, Vivino, or Liquor.com in results; Total Wine lists product without price[10]. SRP $96[5]."
"Redbreast 12-Year-Old Irish Single Pot Still Whiskey - 750ml","","","69.99","64.99","https://flaviar.com/products/redbreast-12-year-old-single-pot-still-irish-whiskey-750","69.99","https://pjwine.com/products/redbreast-single-malt-irish-whiskey-12-years-750ml-jm96","74.99","https://whiskyshopusa.com/redbreast-12-year-old/","5.0","0.0","Prices from search results for 750ml bottles; none directly from Amazon, Vivino, or Liquor.com. Total Wine [8] lacks specific price. $27.99 in [3] appears erroneous (MSRP). Cask strength variant in [7] excluded. Average ex-tax $70 per [2]."
"Basil Hayden's Straight Bourbon - 750ml","","","54.99","33.99","https://www.universalfws.com/product/p-538-basil-hayden-kentucky-straight-bourbon-whiskey/","45","https://secretwhiskeysociety.com/the-complete-basil-hayden-lineup-a-comprehensive-review/","56.83","https://specsonline.com/shop/spirits/basil-haydens-bourbon-8yr-6-case/","21.0","9.99","Prices from search results (Universal FWS $33.99[4], Spec's $34.71[5], Wine-Searcher avg $41[1], reviews $45-50[2][3]); no direct prices from Amazon, Vivino, Liquor.com, or Total Wine in results."
"Nikka From the Barrel - 750ml","","","74.99","59.99","https://www.hiproof.com/products/uc-nikka-whisky-from-the-barrel-102-8-pf-750ml","69.99","https://www.caskers.com/nikka-from-the-barrel-japanese-whisky/","79.99","https://www.thebarreltap.com/products/nikka-whisky-from-the-barrel-750ml","15.0","5.0","Prices from available retailers; no current prices found on Amazon, Total Wine, Vivino, or Liquor.com in results. HiProof sale price used for lowest."
"Oban Cask Strength 15-Year Scotch Whisky - 750ml","","","139.99","129.99","https://theliquorbros.com/products/oban-cask-strength-15-year-scotch-whisky","151.0","https://topshelfwineandspirits.com/products/oban-15-year-cask-strength","199.99","https://theliquorbros.com/products/oban-cask-strength-15-year-scotch-whisky","10.0","-11.01","Prices from available retailers: $129.99-$199.99 (Liquor Bros sale/regular), $145.99 (Bourbon Central), $151.99 (Top Shelf), $153.99 (Caskers). No prices found on Amazon, Vivino, Liquor.com, or Total Wine product pages. Average ex-tax ~$153. Around $150 commonly cited."
"SirDavis American Whiskey - 700ml","","","79.99","62.05","https://flaviar.com/products/sirdavis-american-whisky-750","73.99","https://www.caskers.com/sirdavis-american-whisky-750/","89.46","https://specsonline.com/shop/spirits/sirdavis-american-whisky/","17.94","6.0","Prices from US retailers (Flaviar, Caskers, Spec's); no current prices found on Amazon, Total Wine, Vivino, or Liquor.com. Sizes 750ml unless noted. Flaviar shows sale price."
"Midleton Very Rare Vintage Release 2022 - 750ml","","","269.99","299.99","https://www.elmaliquor.com/shop/liquor/750ml-liquor/midleton-very-rare-2022-vintage-irish-whiskey-750ml/","409.99","https://winepalacemi.com/products/midleton-whiskey-very-rare-2022-vintage-release-irish-750ml","799.94","https://www.saratogawine.com/product/midleton-irish-whiskey-very-rare-vintage-release-2022-750ml/","-30.0","-140.0","Prices from various online retailers; no current listings found on Amazon, Total Wine, Vivino, or Liquor.com in search results. Lowest and median also at Healthy Spirits ($299.99)[7]. Average ex-tax price ~$363-$368 per Wine-Searcher[5][6]."
"Lagavulin 16-Year-Old Single Malt Scotch Whisky - 750ml","","","109.99","84.99","https://wineanthology.com/11884-lagavulin-16-year-old-single-malt-scotch-whisky","97.97","https://pjwine.com/products/lagavulin-16-year-old-single-malt-scotch-whiskey-islay-750ml","107.39","https://www.reservebar.com/collections/lagavulin","25.0","12.02","Prices extracted from search results for 750ml bottles; none from Amazon, Vivino, or Liquor.com; Total Wine lacks specific price; median from sorted unique prices: 84.99, 89.99, 92.99, 97.97, 99.95, 107.39."
"Hibiki Suntory Whisky Japanese Harmony - 750ml","","","99.99","69.99","https://www.binnys.com/spirits/whiskey/suntory-hibiki-harmony-blended-japanese-whisky-84241/","101.99","https://shopwinedirect.com/suntory-hibiki-japanese-harmony-whisky-750ml.html","95.0","https://sftequilashop.com/products/hbiki-suntory-japanese-whiskey","30.0","-2.0","Prices from Binny's ($69.99 sale), ShopWineDirect ($101.99), SF Tequila Shop ($95). No current prices found on Amazon, Total Wine, Vivino, or Liquor.com in results. Some results reference Master's Select variant at higher prices (e.g., $351.99, avg $404), excluded as distinct product."
"Johnnie Walker Blue Label Whisky Ice Chalet Limited Edition - 750ml","","","199.99","218.5","https://cwspirits.com/products/johnnie-walker-blue-label-ice-chalet-edition-750ml","246.99","https://www.caskers.com/johnnie-walker-blue-label-ice-chalet-limited-edition-blended-scotch-whisky/","360.99","https://www.bottlevalues.com/wines/Johnnie-Walker-Blue-Label-Ice-Chalet-Johnnie-Walker-Blue-Label-Ice-Chalet-Bottle-Btls-w75416037l","-18.51","-47.0","Prices from search results (not limited to Amazon, Total Wine, Vivino, Liquor.com; Total Wine lists product but no price shown). Lowest: CW Spirits sale $218.50[6]; Median: Caskers $246.99[7]; Highest: Bottle Values sale $360.99[2]. Other prices: $236.99[5], $284.99[4], $299.99[3]. Avg ex-tax $338[1]."
"Jack Daniel's 10-Year-Old Tennessee Whiskey - 750ml","","","129.99","138.99","https://flaviar.com/products/jack-daniels-10-year-old-tennessee-whiskey-750","199.99","https://raretequilas.com/products/jack-daniels-10-years-tennessee-whiskey","249.95","https://www.folsomwinespirits.com/products/jack-daniels-10-year-old-tennessee-whiskey-batch-no-3-750ml","-9.0","-70.0","Prices from available retailers; Total Wine, Amazon, Vivino, and Liquor.com lacked specific pricing in results. Range based on Flaviar ($138.99-$153.99), Rare Tequilas ($199.99), Caskers ($174.99), CW Spirits ($169.99), Folsom ($249.95). Wine-Searcher avg $241-$257 ex-tax."
"W.L. Weller Special Reserve Wheated Bourbon - 750ml","","","99.99","34.99","https://www.totalwine.com/spirits/bourbon/small-batch-bourbon/wl-weller-special-reserve-bourbon/p/13538750","61.99","https://topshelfwineandspirits.com/products/w-l-weller-special-reserve-wheated-bourbon-whiskey-750ml","79.99","https://www.donsliquorsandwine.com/products/weller-special-reserve-bourbon","65.0","38.0","Prices from Total Wine ($34.99), Top Shelf ($61.99), Don's ($79.99 current, was $59.99). No prices found from Amazon, Vivino, or Liquor.com in results. Outliers like $589.99 ignored as likely not single bottle."
"Jim Beam Bourbon - 750ml","","","16.99","12.99","https://www.totalwine.com/spirits/brand/jim-beam","18.87","https://www.walmart.com/browse/food/all-whiskey/jim-beam/976759_2975985_8439204_1991671/YnJhbmQ6SmltIEJlYW0ie","19.99","https://www.totalwine.com/spirits/brand/jim-beam","4.0","-1.88","Prices for Jim Beam Bourbon Whiskey 750ml from Total Wine ($12.99 and $19.99), Walmart ($18.87). No prices found from Amazon, Vivino, or Liquor.com in results. Other Jim Beam variants excluded."
"Colonel E.H. Taylor Jr. Single Barrel Bourbon - 750ml","","","169.99","60","https://vinepair.com/review/e-h-taylor-jr-single-barrel-bourbon/","149.99","https://www.donsliquorsandwine.com/collections/e-h-taylor","199.99","https://whiskeycaviar.com/collections/e-h-taylor","109.99","20.0","Prices from search results; MSRP/suggested retail ~$60[2][3], actual online listings $149.99-$199.99[4][5][6][7]. No current prices found from Amazon, Total Wine, Vivino, or Liquor.com in results[8]. Average ex-tax $221[1]. Prices may vary by location/taxes/availability as of 2026."
"Colonel E.H. Taylor Jr. Barrel Proof Bourbon (131.1 Proof) - 750ml","","","299.99","429.99","https://dramfellows.com/products/colonel-e-h-taylor-jr-barrel-proof-batch-12-131-1-proof","429.99","https://dramfellows.com/products/colonel-e-h-taylor-jr-barrel-proof-batch-12-131-1-proof","499.97","https://flaskfinewines.com/products/copy-of-colonel-e-h-taylor-barrel-proof-bourbon-129-0-proof-batch-11-2022","-130.0","-130.0","Prices from secondary market retailers (Dram Fellows, Flask Fine Wines, Sip Whiskey, Wine to Ship); no listings found on specified retailers Amazon, Total Wine, Vivino, or Liquor.com. MSRP ~$70[3]. Other prices: $299.99[6], $399.99[8]. Batch 12 (131.1 proof)[1][4]."
"Booker's Barry's Batch Bourbon 2025-01 - 750ml","","","97.99","97.99","flaviar.com","103","wine-searcher.com","119.99","liquorfreight.com","0.0","-5.01","Price data collected from available search results. Amazon, Total Wine, Vivino, and Liquor.com were not included in search results. Prices shown are ex-tax where applicable. Flaviar price requires membership."
"Maker's Mark Dodgers Limited Edition 2025 - 750ml","","","35.99","29.99","https://www.remedyliquor.com/products/makers-mark-bourbon-straight-limited-dodgers-edition-kentucky-750ml","35.09","https://www.thebottleshoppe.com/product/maker-s-mark-2025-dodgers-edition-kentucky-straight-bourbon-whiskey-750ml/OWHP65NHR2W2HAIIKV244NZX","39.99","https://www.remedyliquor.com/products/makers-mark-bourbon-straight-limited-dodgers-edition-kentucky-750ml","6.0","0.9","Prices from search results: Remedy Liquor $29.99 and $39.99 (regular/sale), The Bottle Shoppe $35.09, Keg N Bottle $39.99, Tasters Club $34.99. No prices found on Amazon, Total Wine (link only), Vivino, or Liquor.com. Avg ex-tax $161 from Wine-Searcher[1]. Median calculated from available specific prices."
"Woodford Reserve Rye - 750ml","","","39.99","31.99","https://www.caskers.com/woodford-reserve-distiller-s-select-straight-rye-whiskey/","35.99","https://goodpour.com/products/woodford-reserve-kentucky-straight-rye-whiskey","45.99","https://bottlebuzz.com/products/woodford-reserve-kentucky-straight-rye","8.0","4.0","Prices extracted from search results for 750ml bottles; specific retailers Amazon, Vivino, Liquor.com, and Total Wine prices not found in results. Sorted: 31.99[9], 34.73[1], 34.99[8], 35.99[3], 36.99[7], 39.99[2], 45.99[4]. Median from ordered list."
"Widow Jane Bourbon Decadence - 750ml","","","99.99","89.99","https://unwindbottleshop.com/products/widow-jane-decadence-bourbon-750ml","94.99","https://wineanthology.com/30152-widow-jane-decadence-straight-bourbon-whiskey","109.99","https://wineanthology.com/30152-widow-jane-decadence-straight-bourbon-whiskey","10.0","5.0","Prices from available retailers; Total Wine lists product but no price shown. Sorted from explicit prices: $89.99[2], $94.99[5]/[8], $97.99[10], $99.99[4], $109.99[5]. No prices found from Amazon, Vivino, Liquor.com."
"Two Chicks Sparkling New Fashioned - 4-Pack","","","12.99","11.99","https://www.binnys.com/spirits/premixed-cocktails/two-chicks-sparkling-new-fashioned-pack-cans-110068/","14.99","https://waterstreetwinesandspirits.com/shop/two-chicks-sparkling-new-fashioned-4-pack/","15.99","https://www.caskers.com/two-chicks-sparkling-new-fashioned-4-pack/","1.0","-2.0","Search results did not include Amazon, Vivino, or Liquor.com. Price data collected from available retailers in search results. Prices range from $11.99 to $15.99 for the 4-pack (12oz cans). Total Wine & More and one retailer were out of stock or did not display prices."
"Maker's Mark 46 French Oak Aged Bourbon Whisky - 750ml","","","43.99","34.99","https://applejack.com/Makers-Mark-46-Kentucky-Bourbon-Whiskey-750-ml","43","https://www.wine-searcher.com/find/maker+mark+46+straight+bourbon+whisky+kentucky+usa/1/usa","47.99","https://www.royalbatch.com/makers-mark-46-bourbon-whisky","9.0","0.99","Prices from available retailers (Applejack, Wine-Searcher avg, Royal Batch); no prices found from Amazon, Vivino, or Liquor.com in results. Total Wine listing lacks specific price. Caskers [3] is Cask Strength variant ($68.99), excluded."
"Knob Creek Straight Bourbon - 750ml","","","38.99","25.18","https://applejack.com/Knob-Creek-Kentucky-Straight-Bourbon-Whiskey-750-ml","35.99","https://cwspirits.com/collections/knob-creek","42.99","https://www.totalwine.com/spirits/brand/knob-creek","13.81","3.0","Prices from Total Wine [8], Applejack [4], CW Spirits [7], Binny's [6]. Standard Knob Creek Straight Bourbon 750ml (non-age-stated or 9yr variants). Bulk/quantity discount used for lowest at Applejack (6+ bottles). No prices found from Amazon, Vivino, or Liquor.com in results. Excludes special variants like 12yr or Single Barrel."
"Elmer T. Lee Single Barrel Bourbon - 750ml","","","179.99","167.99","https://www.happysliquor.com/products/elmer-t-lee-single-barrel-straight-bourbon-750ml-1","223.99","https://www.caskers.com/elmer-t-lee-single-barrel-bourbon/","229.99","https://kegnbottle.com/products/elmer-t-lee-single-barrel-750-ml","12.0","-44.0","Prices from various online retailers (not limited to Amazon, Total Wine, Vivino, Liquor.com as specified; no prices found from those sites). Prices extracted from search results: Happy's Liquor $167.99[5], Caskers $223.99[4], Wooden Cork $229.95[1], Keg N Bottle $229.99[7]. Median calculated from available specific prices. Secondary market averages higher (e.g., $223 ex-tax[2])."
"Blanton's Gold Edition Bourbon - 750ml","","","229.99","199.99","https://www.thebarreltap.com/products/blantons-gold-edition-bourbon-750ml","293.99","https://www.caskers.com/blanton-s-gold-edition/","380.99","https://www.caskers.com/blanton-s-gold-edition/","30.0","-64.0","Prices from various online retailers (not limited to Amazon, Total Wine, Vivino, Liquor.com as none listed there); lowest $199.99 at The Barrel Tap (750ml), median approximated from available $199.99, $219.99/$229.99 (700ml), $293.99/$314.99/$342 avg, $380.99; sizes vary slightly[2][3][4][7]."
"Balvenie Caribbean Cask 14 Year Old - 750ml","","","99.99","64.99","https://www.bottlesandcases.com/spirits/Balvenie-14-Year-Speyside-Caribbean-Cask-Single-Malt-Scotch-w95295339l","84.99","https://flaviar.com/products/the-balvenie-14-year-old-caribbean-cask-750","95.0","https://www.blackwellswines.com/products/balvenie-14-year-scotch-whisky-caribbean-cask","35.0","15.0","Prices from search results (Total Wine: $85.99[7]); no data found for Amazon, Vivino, Liquor.com. Lowest/median/highest from available 750ml listings. Wine-Searcher avg $95-96 ex-tax[2]."
"Jameson Triple Triple Irish Whiskey - 750ml","","","25.99","21.99","https://flaviar.com/products/jameson-triple-triple-irish-whiskey-750","29.99","https://www.target.com/p/jameson-triple-triple-irish-whiskey-750ml-bottle/-/A-93732271","36.0","https://www.wine-searcher.com/find/jameson+tripletriple+blend+whisky+county+cork+ireland/1/france","4.0","-4.0","Prices from search results (Flaviar $21.99, Caskers $22.99/$27.99, Target $27.99 sale, ABC $29.99, Best Buy $31.89, Lisa's $34.99, Wine-Searcher avg $36). No prices found for Amazon, Vivino, or Liquor.com in results; Total Wine listed without price."
"Wild Turkey Rare Breed Barrel Proof - 750ml","","","59.99","56.99","https://flaviar.com/products/wild-turkey-rare-breed-barrel-proof-kentucky-straight-bourbon-whiskey-750","68.99","https://costplusliquors.com/products/wild-turkey-bourbon-rare-breed-barrel-proof-750ml","69.99","https://topshelfwineandspirits.com/products/wild-turkey-rare-breed-barrel-proof","3.0","-9.0","Prices from general online retailers; no current listings found on Amazon, Total Wine, Vivino, or Liquor.com in results. Sale prices used where available. Sorted from explicit prices: 56.99, 59.99, 63.99, 68.99, 69.99."
"Wild Turkey 101 Old Fashioned Cocktail Pack","","","49.99","49.99","https://sipsy.com/products/wild-turkey-101-old-fashioned-cocktail-pack","49.99","https://sipsy.com/products/wild-turkey-101-old-fashioned-cocktail-pack","49.99","https://sipsy.com/products/wild-turkey-101-old-fashioned-cocktail-pack","0.0","0.0","Only one specific price found for the exact 'Wild Turkey 101 Old Fashioned Cocktail Pack' at Sipsy ($49.99). No listings found on Amazon, Total Wine, Vivino, or Liquor.com. Other results show related bundles/kits without prices or single bottles only."
"Russell's Reserve Rye 6-Year-Old Whiskey - 750ml","","","49.99","42.99","https://www.ohlq.com/liquor/whiskey/american/russells-reserve-single-barrel-rye","51","https://www.wine-searcher.com/find/russell+rsrv+six+old+straight+rye+whisky+kentucky+usa","55.99","https://seelbachs.com/products/russells-reserve-6-year-old-rye-whiskey","7.0","-1.01","Prices from available retailers (OHLQ $42.99[4], Caskers $42.99[6], Wine-Searcher avg $51[2], Seelbachs $55.99[1]); no current prices found on Amazon, Vivino, or Liquor.com. Total Wine listed without price[8]."
"Maker's Mark Straight Bourbon - 750ml","","","30.99","23.99","https://www.totalwine.com/spirits/bourbon/small-batch-bourbon/makers-mark-bourbon-whisky/p/3700750","25.23","https://specsonline.com/shop/spirits/makers-mark-bourbon-90-3/","26.99","https://applejack.com/Makers-Mark-Kentucky-Straight-Bourbon-Whiskey-750-ml","7.0","5.76","Prices for standard 750ml from individual retailers; loyalty discount ($24.98) and bundles/auctions/special releases excluded. No current prices found from Amazon, Vivino, or Liquor.com in results. Avg ex-tax $31[1]."
"Lost Irish Whiskey - 750ml","","","26.99","30.99","https://flaviar.com/products/lost-irish-whiskey-750","35.99","https://www.totalwine.com/spirits/irish-whiskey/lost-irish-whiskey/p/245637750","39.99","https://www.hitimewine.net/lost-irish-whiskey-40-750ml-121414","-4.0","-9.0","Prices from search results; Total Wine listed at $35.99. No prices found for Amazon, Vivino, or Liquor.com. Flaviar offers $30.99 (member price?). Median based on available explicit prices: 30.99, 35.99, 35.99, 37.99, 39.99."
"Lagavulin Offerman Edition 11-Year-Old Charred Oak Cask - 750ml","","","89.99","59.99","https://www.totalwine.com/spirits/scotch/single-malt/lagavulin-11-year-offerman-edition-single-malt-scotch/p/349854750","99.99","https://sipwhiskey.com/products/lagavulin-offerman-edition-11-year-charred-oak-cask","123.99","https://www.caskers.com/lagavulin-offerman-edition-11-year-old-charred-oak-cask-single-malt-scotch-whisky/","30.0","-10.0","Prices extracted from search results; Total Wine at $59.99, Sip Whiskey at $99.99, Caskers at $123.99. No direct prices found from Amazon, Vivino, or Liquor.com in results. Other retailers: Oak & Barrel $60.99, Kings $79.98 member/$87.99, Keg N Bottle $109.99. Avg ex-tax $104 per Wine-Searcher."
"Kentucky Owl Confiscated Bourbon Whiskey - 750ml","","","109.99","117.99","https://www.caskers.com/kentucky-owl-confiscated-bourbon-whiskey/","125","https://www.missionliquor.com/products/kentucky-owl-confiscated-straight-bourbon-whiskey-750ml-1","129.99","https://kegnbottle.com/products/kentucky-owl-confiscated-bourbon-whiskey-750-ml","-8.0","-15.01","Prices from Caskers ($117.99)[8], Sip Whiskey ($119.99)[6], Liquor.com reference ($125)[2], Keg N Bottle sale ($129.99)[3]. No current listings found on Amazon, Total Wine, or Vivino; Total Wine link lacks price[9]. Avg ex-tax $133-137 per Wine-Searcher[1]."
"Glenmorangie Highland Single Malt Scotch Whisky - 750ml","","","49.99","44.99","https://cwspirits.com/collections/glenmorangie","49.99","https://sipsy.com/products/glenmorangie-highland-single-malt-scotch-whisky-750-ml","74.99","https://www.oldtowntequila.com/brands/Glenmorangie.html","5.0","0.0","Prices from search results for Glenmorangie Highland Single Malt Scotch Whisky 750ml or close variants (e.g., Original 10/12yr). Specific retailers Amazon, Vivino, Liquor.com not found in results; used available sources like Sipsy, CW Spirits, Old Town Tequila. No exact prices from Total Wine[8]."
